Reviews,rating
They are stunning! I have pretty sensitive ears. The weight nor the material irritate them. Will stay in place pretty well. Highly recommend.,1
"Amazing! Te color violet is gorgeous, and they're very comfy. Totally worth it!",1
"My earrings are beautiful! They are incredibly light, and exactly what I wanted. These are the most comfortable, adaptable, ear crawlers I have ever worn. 

I ordered these to wear to my sister's wedding. Unfortunately, shipping took a lot longer than the estimation I was given, and I did not receive them in time. (As I am located in the US, this is to be expected I'm sure.)",1
My daughter adores the beautiful earing and I enjoy the superb customer service! It is the second time I did a purchase in Kivotos and I can only highly recommend it! Many thanks again!,1
"I loved this ear crawler so much, I decided to get 2 to make it a set.",1
This was exactly what I wanted! This earring is even prettier in person. I paired it with a 'matching' stud for some asymmetrical flair.,1
These earrings are simply gorgeous and more than I could have hoped for. I definitely will be buying more from Miriam!,1
Perfect! Looks amazing on my giant earlobes and my daughter's nearly no lobes.,1
"A little tricky to get on, but once they're on they are magic! Lovely, carefully made, look great.",1
"These have been my favorite purchase on Etsy so far! They are absolutely stunning and I get compliments all the time when I wear them. They look to be very high quality, not cheaply made. You will not be disappointed!",1
Wore these earrings for my wedding and absolutely loved them! They fit perfectly and looked beautiful. I got so many compliments on them. I also have really sensitive ears and these earrings didn't irritate them at all!,1
Love these! Wore them on my wedding. We're beautiful and unique. I got a lot of compliments!,1
So adorable! Got so many compliments on them!,1
"Bought these for my wedding and they are GORGEOUS. was a little confusing at first to figure out how to get them to stay up on my ear, but other than that they are so perfect. Super glad I bought these. They don't look or feel cheap and I love them",1
They are stunning I’m obsessed!,1
"Even more beautiful than in the photos. The opals are mesmerizing! 

I bought them as a gift for my mums birthday - they were delivered quickly and on time as promised!",1
"I love these earrings! They are gorgeous and unique and sooo sparkly! They fit perfectly, I can’t wait to wear them on my wedding day! These earrings have the clamp on the back for the upper part of the earlobe so if your ears are small or not shaped right these might not fit great. Fast shipping and they were exactly as described. Thank you Iloniti!",1
"I love these!! Absolutely perfect, just what I was hoping to use on my wedding! The second clip doesn´t exacly fit my ear correctly (maybe because of my ear shape, not sure...I´ll have to figure a way), but I score 5 stars because it is absolutely stunning, shipping was on time, and packaging sooo cute (loved the details and care!). I´ll post a picture on your instagram wearing them on my big day!",1
Stunning! They were the perfect touch to my wedding dress.,1
"These are beautiful, quality, and hand crafted. I love them. They are stunning and unique. Very excited for my wedding day. My only recommendation for the shop owner is to post a photo of the back of the earring. I did not realize it had a stud and a clip on section (makes sense given its design; very practical!). I also like that I can adjust the strength of the clip on part. They are a bit heavier than you might expect, so if you have sensitive ears, you might want to go a bit smaller.",1
Best jewelry ever!   I love this look.  I get sooo many compliments.  I have the ear cuffs and both ear climbers.  I did lose a climber in the shower... I think it tends to get loose and release when wet but I ordered another and am careful.   I sleep in them too no problem.   Just wonderful jewelry and awesome seller.,1
these are so cool!! i've been looking for some unique gold pieces to change up my ear jewelry and this is exactly what i was looking for. easy to put in and look very nice!,1
"Love these earrings! The are sleek and stylish, plus they look good with everything! I highly recommend.",1
"It came exactly as described! I love it. My ears are very sensitive to different types of material and these earrings don't irritate them at all. Great customer service, shipped fast, beautiful earrings. Definitely 5 stars!",1
Oh my goodness! These earrings/ear jackets are absolutely brilliant! Gorgeous!,1
Edgy and fierce. Love these! Slow shipping but hey it's coming from overseas! Worth the wait. I get compliments every time I wear them.,1
Absolutely love these gorgeous earrings - they are simply perfect. I chose pink and orange and the colour combination is beautiful. They are really different and I plan to order more. The packaging is also really cool! Delighted with this purchase and the seller was extremely helpful too - very happy!,1
Love them 🧡 ✨,1
"My mom loves these shooting star earrings. Also, the package arrived quickly (from the UK) in spite of all the challenges folks are facing with these days - thank you so much and appreciate your effort!!",1
"So this is my second engagement ring, we got it to match my fiancé’s wedding band since his is grey/black with black diamonds + rose gold trim. It’s so beautiful in person and people love it! 
I put a photo of the 2 ct. salt and pepper ring with rose gold alongside my original ring (not from etsy) which is a .65 center white diamond for comparison. My ring size is a 3.5. The seller was very nice and sent me a video and photo of the diamond she would use.",1
I can’t stop staring at my new engagement ring! Honestly it’s one of the prettiest rings I’ve ever seen. My fiancé is very proud of it and I’m a very happy fiancée. He says his favorite part is how much I love it. Lena was amazing and patient answering all our questions about fitting it with wedding bands we had from my grandma. She even gave us a little sneak video to help with our excitement (though to be honest it was all my excitement)!  Shipping was incredibly fast! I hear nothing but compliments when people notice my ring!,1
"I could not have asked for a more incredible experience or ring. Lena was so incredibly helpful and kind, and her work absolutely speaks for itself. Here’s what my (now) fiancée had to say:

“This ring is everything I’ve ever wanted. It’s perfectly petite yet makes SUCH a statement! I haven’t had it on a full 24 hours and can’t even count how many people have said ‘that is by far the most beautiful ring I’ve ever seen.’”",1
Lena was amazing! I probably went through a dozen of diamond choices before I find the one that made my heart melt!! She was very patient and had me took all the time I need to decide. Thanks so much Lena!! I chose the setting of my dreams and they delivered the reality. Pricing is amazing and the quality is superb. I waited a few weeks to review to make sure im still in love with the ring. Well I am! very much everyday.  I plan to have this piece stay in the family forever. Thank you so much Lena! Let’s create more timeless pieces together ❤️,1
"Love these mandala earrings:  delicate design, light and comfortable to wear.  Sent quickly, boxed for safety, arrived safe!  Highly recommended!",1
Perfectly beautiful!,1
"I love the earrings as they are a gift for a friend.  Was shipped quickly; had an error on the mailing address.  She caught it very quickly and then changed my address.  I received them and worth a purchase.  Thank you - they are in Quebec so I am glad I could buy from a Canadian store on Etsy.

Dorothy
Calgary",1
These ear climbers are so beautiful! They’re perfect for my second ear holes.,1
Love them! Great quality and I get so many compliments. Shipped promptly and even with COVID delays still managed to get here in time for holiday season. Will definitely be ordering more pieces.,1
Absolutely LOVE it! I’m addicted to this beautiful jewellery. THANK YOU SO MUCH!!!,1
The quality of these earrings is great. They are dainty and beautiful and perfect for everyday wear or for a night out with the hubs. 🖤🖤,1
"I get so many compliments on these earrings. I love that I can bend the silver to the shape of my ear. I ordered the ones with moonstone, and it’s a beautiful touch",1
What beautiful earrings! They look lovely on and are just the perfect size. I loved the little glass bottle they came in too! I'm already planning a second order. :),1
"Great earrings! Still getting used to the style (my first crawlers) so I feel like they slip out sometimes, but they look great!",1
"SO so cute! High quality too! I love them so much, Thank you!!",1
"I ordered these lotus jacket earrings is silver and rose gold. I. Am. Obsessed! I constantly get compliments! Get yourself a pair, you will not regret it!",1
Love these! Really pretty with my studs,1
"They’re exactly as described! SO PERFECT, I’m obsessed. It was delivered so quickly too in protective packaging.",1
"Love my new earrings! They are so perfect! Nice, light weight and comfortable. Arrived sooner than I thought. Would order again!",1
I love all these earrings so much! The posts are very delicate though and one was bent on receiving. Still functioning though. I’d definitely purchase more from this shop,1
"These are SO cute and so simply great! 
I ordered a set for my furrbabies names, loved them and then came back and ordered sets for gifts. 
So great!  I recommend taking the earrings out at night before sleep or before pulling a hoodie over your head.",1
"Great quality, shipping time was off by almost a week but it’s the season!!! We’re decent size not too big but perfect for my 10 yr old initials!",1
Love love love!,1
"Absolutely love my new pieces! I bought both the climbers and the cuff pictured because I liked the look so much, and they work just as wonderfully together on my ears. Beautiful jewelry!",1
Absolutely gorgeous! I’m in love with my new set! Fast shipping too! I would definitely buy from here again!,1
This picture does not do it justice. I got the earrings and two ear cuffs. My oh my they are beautiful! I’m so excited to wear these!!,1
"This came out wayyy better than I expected! I used these ear climbers for my wedding and they were super cute. The only reason I didn’t give 5 stars is because I lost 1 ear climber at the end of the day. :( I know I had put it on correctly and tightened it, but it didn’t hold up. Otherwise, the earrings are still great!",1
